category,tone_no,tone_name
Pulsating,803,Flying Pad 2
Pulsating,804,Flying Pad 3
Pulsating,805,Flying Pad 4
Pulsating,806,Flying Pad 5
Pulsating,807,Sine Magic
Pulsating,808,Pulsatron
Pulsating,809,Motion Bass
Pulsating,810,Trance Splt
Pulsating,811,Rhythmic 5th
Pulsating,812,Rhythmic 1
Pulsating,813,Rhythmic 2
Pulsating,814,Mega Sync 1
Pulsating,815,StrobeBell 3
Pulsating,816,Strobe 1
Pulsating,817,Strobe 2
Pulsating,818,Strobe 3
Pulsating,819,Strobe 4
Pulsating,820,LFO Saw
Pulsating,821,Keep Going
Pulsating,822,Keep Running
Pulsating,823,Electrons
Pulsating,824,BriskVortex
Pulsating,825,LFO Vox
Pulsating,826,Pulsasaw
Pulsating,827,Arposphere
Pulsating,828,Mega Sync 2
Beat&Groove,829,Compusonic 1
Beat&Groove,830,Compusonic 2
Beat&Groove,831,Compusonic 3
Beat&Groove,832,Compusonic 4
Beat&Groove,833,Compusonic 5
Beat&Groove,834,AnalogDays 2
Beat&Groove,835,Groove 007
Beat&Groove,836,Juno Pop
Beat&Groove,837,Auto Trance2
Beat&Groove,838,In Da Groove
Beat&Groove,839,80s Beat
Hit,840,Cheezy Movie
Hit,841,Mod Chord
Hit,842,Housechord
Hit,843,OrchestraHit
Hit,844,Bass Hit
Hit,845,6th Hit
Hit,846,Euro Hit
Sound FX,847,Scratch 1
Sound FX,848,Seashore
Sound FX,849,Rain
Sound FX,850,Thunder
Sound FX,851,Wind
Sound FX,852,Stream
Sound FX,853,Bubble
Sound FX,854,Bird 1
Sound FX,855,Dog
Sound FX,856,Horse Gallop
Sound FX,857,Bird 2
Sound FX,858,Telephone 1
Sound FX,859,Telephone 2
Sound FX,860,DoorCreaking
Sound FX,861,Door
Sound FX,862,Scratch 2
Sound FX,863,Wind Chimes
Sound FX,864,Helicopter
Sound FX,865,Car Engine
Sound FX,866,Car Stop
Sound FX,867,Car Pass
Sound FX,868,Car Crash
Sound FX,869,Siren
Sound FX,870,Train
Sound FX,871,Jetplane
Sound FX,872,Starship
Sound FX,873,Burst Noise
Sound FX,874,Applause
Sound FX,875,Laughing
Sound FX,876,Screaming
Sound FX,877,Punch
Sound FX,878,Heart Beat
Sound FX,879,Footsteps
Sound FX,880,Gun Shot
Sound FX,881,Machine Gun
Sound FX,882,Laser Gun
Sound FX,883,Explosion
Percussion,884,Ride Cymbal
Percussion,885,Timpani
Percussion,886,Agogo
Percussion,887,Woodblock
Percussion,888,Castanets
Percussion,889,Taiko
Percussion,890,Concert BD
Percussion,891,Melo. Tom 1
Percussion,892,Melo. Tom 2
Percussion,893,Synth Drum
Percussion,894,808 Tom
Percussion,895,Elec Perc
Percussion,896,Reverse Cymb
Drums,897,Standard 1
Drums,898,Standard 2
Drums,899,Standard 3
Drums,900,Rock Kit
Drums,901,Jazz Kit
Drums,902,Brush Kit
Drums,903,Machine Kit
Drums,904,R&B T-Analog
Drums,905,R&B Mini Kit
Drums,906,HipHop Kit
Drums,907,R&B Kit
Drums,908,Dance Kit 1
Drums,909,Dance Kit 2
Drums,910,Dance Kit 3
